Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Ours (Taylor’s Version),0.449,0.535,235803,0.488,0,-8.261,0.0278,159.813,0.348
Superman (Taylor’s Version),0.0031,0.533,274945,0.742,0,-3.473,0.0303,131.93,0.356
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),0.0164,0.547,266467,0.855,0,-4.7,0.0597,131.073,0.282
When Emma Falls in Love (Taylor’s Version) (From The Vault),0.159,0.474,252386,0.763,0,-4.632,0.0505,78.133,0.231
I Can See You (Taylor’s Version) (From The Vault),0.0586,0.694,273186,0.764,0,-4.893,0.0337,123.044,0.819
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),0.362,0.576,306062,0.57,0,-7.925,0.0434,147.803,0.378
Foolish One (Taylor’s Version) (From The Vault),0.617,0.671,311765,0.588,0,-4.675,0.0299,96.965,0.543
Timeless (Taylor’s Version) (From The Vault),0.3,0.624,321397,0.585,0,-5.847,0.0328,142.883,0.65
Lavender Haze,0.236,0.735,202396,0.454,0.00113,-10.516,0.0876,97.043,0.0751
Maroon,0.0609,0.65,218271,0.397,1.4e-06,-8.237,0.0365,108.055,0.0382
Anti-Hero,0.115,0.637,200690,0.649,1.22e-06,-6.59,0.0584,96.935,0.497
Snow On The Beach (feat. Lana Del Rey),0.705,0.653,256124,0.331,0.0013,-13.534,0.039,110.014,0.166
"You're On Your Own, Kid",0.423,0.694,194207,0.386,1.05e-05,-10.312,0.0597,120.044,0.39
Midnight Rain,0.705,0.654,174783,0.372,6.78e-05,-11.704,0.0667,140.15,0.198
Question...?,0.205,0.741,210557,0.509,0,-8.747,0.19,108.978,0.113
Vigilante Shit,0.157,0.867,164801,0.272,3.42e-05,-11.014,0.363,79.962,0.157
Bejeweled,0.0648,0.695,194166,0.546,0.000128,-9.184,0.066,164.0,0.425
Labyrinth,0.804,0.493,247962,0.308,0.328,-15.489,0.0436,109.993,0.13
Karma,0.0782,0.647,204852,0.614,0,-7.091,0.0651,90.034,0.0956
Sweet Nothing,0.967,0.335,188497,0.166,0.00012,-14.958,0.048,175.917,0.391
Mastermind,0.545,0.661,191039,0.345,0.000915,-14.037,0.144,125.977,0.126
The Great War,0.203,0.573,240356,0.737,2.78e-05,-9.002,0.0352,96.009,0.592
Bigger Than The Whole Sky,0.837,0.48,218503,0.22,0.00269,-12.469,0.0425,82.951,0.0633
Paris,0.116,0.691,196259,0.498,3.07e-05,-10.519,0.101,110.963,0.454
High Infidelity,0.726,0.564,231475,0.545,0,-10.17,0.104,176.082,0.766
Glitch,0.318,0.677,148781,0.451,0,-9.744,0.19,140.845,0.399
"Would've, Could've, Should've",0.435,0.482,260362,0.837,0.00147,-6.501,0.12,157.96,0.534
Dear Reader,0.497,0.475,225194,0.386,0.00104,-12.038,0.0737,107.601,0.162
Hits Different,0.148,0.672,234467,0.782,4.73e-06,-6.499,0.0421,106.026,0.239
Snow On The Beach (feat. More Lana Del Rey),0.806,0.664,229943,0.401,3.5e-06,-10.934,0.0344,109.846,0.315
Karma (feat. Ice Spice),0.0623,0.615,201493,0.616,0,-6.523,0.0622,89.977,0.0734
Lavender Haze,0.204,0.735,202396,0.444,0.0012,-10.519,0.0684,97.038,0.0984
Maroon,0.0593,0.658,218271,0.378,0,-8.3,0.0379,108.034,0.0382
Anti-Hero,0.133,0.638,200690,0.634,1.23e-06,-6.582,0.0457,96.953,0.519
Snow On The Beach (feat. Lana Del Rey),0.735,0.659,256124,0.323,0.00321,-13.425,0.0436,110.007,0.154
"You're On Your Own, Kid",0.416,0.694,194207,0.38,8.47e-06,-10.307,0.0614,120.044,0.376
Midnight Rain,0.71,0.636,174783,0.377,6.51e-05,-11.721,0.0708,139.966,0.23
Question...?,0.226,0.751,210557,0.502,0,-8.777,0.162,108.989,0.112
Vigilante Shit,0.16,0.87,164801,0.279,1.74e-05,-11.134,0.364,79.996,0.16
Bejeweled,0.0661,0.7,194166,0.55,0.000102,-9.13,0.0653,164.003,0.412
Labyrinth,0.791,0.487,247962,0.313,0.348,-15.434,0.0487,110.039,0.141
Karma,0.074,0.649,204852,0.622,0,-7.054,0.0582,90.024,0.106
Sweet Nothing,0.967,0.334,188497,0.161,4.71e-05,-14.875,0.0506,176.747,0.396
Mastermind,0.571,0.661,191039,0.352,0.00147,-14.077,0.117,125.934,0.13
The Great War,0.219,0.573,240356,0.741,2.23e-05,-8.987,0.0353,96.016,0.554
Bigger Than The Whole Sky,0.826,0.422,218503,0.235,0.00648,-12.379,0.0568,165.71,0.068
Paris,0.112,0.7,196259,0.509,3.27e-05,-10.547,0.0789,110.947,0.345
High Infidelity,0.723,0.646,231475,0.529,0,-10.179,0.0864,87.862,0.755
Glitch,0.361,0.675,148781,0.466,0,-9.738,0.201,140.864,0.347
"Would've, Could've, Should've",0.43,0.483,260362,0.84,0.000575,-6.508,0.119,157.979,0.55
Dear Reader,0.481,0.562,225194,0.388,0.00145,-12.088,0.0705,107.747,0.159
Lavender Haze,0.258,0.733,202396,0.436,0.000573,-10.489,0.08,96.985,0.0976
Maroon,0.0573,0.637,218271,0.398,1.03e-06,-8.294,0.0564,108.075,0.0374
Anti-Hero,0.13,0.637,200690,0.643,1.8e-06,-6.571,0.0519,97.008,0.533
Snow On The Beach (feat. Lana Del Rey),0.69,0.663,256124,0.319,0.000993,-13.481,0.0375,109.957,0.193
"You're On Your Own, Kid",0.401,0.696,194207,0.396,5.2e-06,-10.289,0.0656,120.041,0.38
Midnight Rain,0.69,0.643,174783,0.363,5.17e-05,-11.738,0.0767,139.865,0.23
Question...?,0.2,0.751,210557,0.502,0,-8.763,0.167,108.943,0.106
Vigilante Shit,0.173,0.798,164801,0.277,5.25e-05,-11.096,0.39,79.846,0.163
Bejeweled,0.0618,0.696,194166,0.559,5.58e-05,-9.19,0.0693,163.999,0.433
Labyrinth,0.785,0.406,247962,0.306,0.488,-15.48,0.0517,110.014,0.122
Karma,0.0734,0.642,204852,0.62,0,-7.091,0.0666,90.02,0.0969
Sweet Nothing,0.964,0.337,188497,0.156,7.72e-05,-14.919,0.0518,176.655,0.39
Mastermind,0.553,0.662,191039,0.357,0.00129,-14.064,0.154,125.966,0.124
State Of Grace (Taylor's Version),0.000328,0.594,295413,0.713,0,-5.314,0.0503,129.958,0.328
Red (Taylor's Version),0.00108,0.516,223093,0.777,1.62e-06,-4.908,0.0375,125.047,0.408
Treacherous (Taylor's Version),0.0344,0.645,242720,0.593,0.000127,-6.506,0.0288,109.984,0.299
I Knew You Were Trouble (Taylor's Version),0.0129,0.584,219760,0.557,0,-6.371,0.0342,154.008,0.767
All Too Well (Taylor's Version),0.0171,0.44,329160,0.528,0.00203,-7.809,0.0317,185.972,0.132
22 (Taylor's Version),0.000443,0.642,230960,0.695,1.02e-05,-5.62,0.0281,103.984,0.642
I Almost Do (Taylor's Version),0.0167,0.511,244587,0.559,0,-6.587,0.0264,145.88,0.248
We Are Never Ever Getting Back Together (Taylor's Version),0.0317,0.567,193147,0.686,1.86e-06,-6.139,0.175,172.014,0.716
Stay Stay Stay (Taylor's Version),0.0848,0.693,205787,0.681,0,-7.039,0.025,100.02,0.663
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),0.0399,0.502,299080,0.534,0,-5.954,0.0278,94.05,0.155
Holy Ground (Taylor's Version),0.0288,0.622,202960,0.809,0.00218,-5.623,0.0638,156.894,0.511
Sad Beautiful Tragic (Taylor's Version),0.622,0.601,284773,0.406,9.19e-05,-11.827,0.0275,130.059,0.232
The Lucky One (Taylor's Version),0.066,0.686,240467,0.571,0,-7.138,0.05,117.889,0.538
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),0.271,0.498,245427,0.61,0,-5.098,0.0363,79.918,0.474
Starlight (Taylor's Version),0.00324,0.628,220413,0.685,0,-5.864,0.0358,126.014,0.605
Begin Again (Taylor's Version),0.075,0.519,238867,0.527,0,-7.673,0.0274,78.915,0.267
The Moment I Knew (Taylor's Version),0.0494,0.636,285280,0.402,0,-7.855,0.031,125.952,0.208
Come Back...Be Here (Taylor's Version),0.0158,0.46,223333,0.632,0,-6.031,0.0302,79.846,0.399
Girl At Home (Taylor's Version),0.00955,0.691,220520,0.736,1.88e-05,-6.974,0.0326,125.089,0.612
State Of Grace (Acoustic Version) (Taylor's Version),0.663,0.445,321640,0.131,1.57e-06,-13.778,0.0564,208.918,0.101
Ronan (Taylor's Version),0.661,0.623,264253,0.279,0,-10.802,0.031,116.04,0.38
Better Man (Taylor's Version) (From The Vault),0.214,0.473,297013,0.579,0,-5.824,0.0384,73.942,0.255
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0.817,0.606,258813,0.377,0,-9.455,0.0275,101.96,0.446
Babe (Taylor's Version) (From The Vault),0.0538,0.584,224240,0.743,2.83e-06,-7.075,0.0931,167.844,0.746
Message In A Bottle (Taylor's Version) (From The Vault),0.00188,0.622,225960,0.791,3.72e-06,-6.106,0.0535,115.915,0.494
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),0.167,0.391,285107,0.715,0,-4.516,0.0495,149.654,0.473
Forever Winter (Taylor's Version) (From The Vault),0.256,0.611,263533,0.552,0,-5.828,0.031,116.012,0.41
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),0.817,0.61,240227,0.488,0,-6.918,0.0293,125.039,0.443
The Very First Night (Taylor's Version) (From The Vault),0.00115,0.678,200280,0.733,0,-5.025,0.0281,121.009,0.581
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),0.274,0.631,613027,0.518,0,-8.771,0.0303,93.023,0.205
Fearless (Taylor’s Version),0.0122,0.569,241592,0.741,0,-4.963,0.0282,100.118,0.43
Fifteen (Taylor’s Version),0.116,0.559,294419,0.646,0,-4.61,0.0272,95.466,0.289
Love Story (Taylor’s Version),0.13,0.627,235767,0.792,3.97e-06,-4.311,0.031,119.054,0.415
Hey Stephen (Taylor’s Version),0.106,0.788,254255,0.571,0,-6.135,0.0296,115.99,0.797
White Horse (Taylor’s Version),0.369,0.423,234516,0.517,0,-7.377,0.0486,185.262,0.366
You Belong With Me (Taylor’s Version),0.0623,0.632,231124,0.773,0,-4.856,0.0346,130.033,0.474
Breathe (feat. Colbie Caillat) (Taylor’s Version),0.156,0.506,263377,0.626,0,-6.066,0.0287,148.035,0.321
Tell Me Why (Taylor’s Version),0.0222,0.578,200576,0.909,0,-3.669,0.0628,100.023,0.541
You’re Not Sorry (Taylor’s Version),0.0538,0.506,261843,0.444,0,-4.99,0.0285,133.873,0.241
The Way I Loved You (Taylor’s Version),0.0033,0.402,243137,0.732,0,-4.665,0.0484,161.032,0.472
Forever & Always (Taylor’s Version),0.0231,0.598,225328,0.821,0,-4.433,0.0447,128.03,0.673
The Best Day (Taylor’s Version),0.488,0.642,245290,0.576,0,-8.524,0.0282,125.0,0.469
Change (Taylor’s Version),0.000191,0.499,279360,0.815,0,-4.063,0.0341,95.999,0.344
Jump Then Fall (Taylor’s Version),0.0474,0.572,237580,0.69,0,-6.201,0.0358,160.111,0.624
Untouchable (Taylor’s Version),0.0181,0.393,312107,0.531,0,-6.112,0.0329,200.391,0.224
Forever & Always (Piano Version) (Taylor’s Version),0.819,0.546,267833,0.273,0,-9.208,0.0308,118.753,0.271
Come In With The Rain (Taylor’s Version),0.0406,0.476,237339,0.564,0,-5.677,0.0269,143.929,0.167
