Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Fun Tonight,0.364,0.645,173427,0.923,1.06e-06,-4.262,0.0725,117.945,0.323
Chromatica II,0.473,0.184,41867,0.297,0.893,-14.534,0.0359,75.824,0.113
911,0.0294,0.789,172133,0.813,2.07e-06,-4.563,0.0374,116.007,0.42
Plastic Doll,0.0019,0.743,221667,0.853,3.49e-05,-4.842,0.04,121.028,0.422
Sour Candy (with BLACKPINK),0.0604,0.752,157707,0.87,1.12e-05,-3.812,0.0623,120.006,0.784
Enigma,0.0306,0.669,179760,0.804,0,-4.035,0.036,116.001,0.184
Replay,0.00792,0.658,186653,0.878,0,-3.875,0.123,122.015,0.683
Chromatica III,0.952,0.493,27667,0.373,0.981,-12.475,0.0524,121.454,0.565
Sine From Above (with Elton John),0.158,0.642,244880,0.792,9.84e-06,-5.746,0.0488,122.965,0.0903
1000 Doves,0.0236,0.668,215480,0.826,1.07e-05,-4.466,0.0383,122.973,0.388
Babylon,0.0129,0.698,161733,0.799,5.46e-06,-4.372,0.0342,115.957,0.351
Black Eyes,0.000811,0.373,183773,0.937,6.37e-05,-2.133,0.0834,150.242,0.46
La Vie En Rose,0.758,0.276,179760,0.405,0,-7.296,0.0329,76.18,0.335
Maybe It's Time,0.798,0.699,159293,0.282,1.23e-06,-7.65,0.0374,79.776,0.359
Out Of Time,0.173,0.584,172320,0.915,0.822,-7.339,0.0579,99.983,0.359
Alibi,0.0145,0.285,183227,0.787,0.00043,-3.641,0.036,175.693,0.636
Shallow - Radio Edit,0.416,0.575,217213,0.33,0,-6.557,0.031,95.801,0.277
Music To My Eyes,0.392,0.625,199200,0.356,0.00129,-9.044,0.0319,114.805,0.325
Diggin' My Grave,0.171,0.684,237307,0.612,1.53e-05,-4.653,0.0287,93.964,0.561
Always Remember Us This Way,0.299,0.553,210200,0.502,0,-5.972,0.0409,129.976,0.296
Look What I Found,0.456,0.849,175240,0.493,0.000463,-4.1,0.0417,97.012,0.447
Heal Me,0.0481,0.606,196800,0.544,0,-8.36,0.0593,86.013,0.456
I Don't Know What Love Is,0.348,0.421,177293,0.535,0.000194,-6.556,0.0288,62.671,0.221
Is That Alright?,0.868,0.557,191280,0.279,1.25e-05,-7.757,0.0372,102.727,0.263
Why Did You Do That?,0.0304,0.792,184960,0.548,9.94e-06,-5.484,0.0582,116.008,0.445
Hair Body Face,0.0103,0.863,202640,0.457,5.32e-05,-6.422,0.0526,115.009,0.401
Before I Cry,0.157,0.48,258547,0.56,0,-5.196,0.0373,146.41,0.167
Too Far Gone,0.0385,0.565,86160,0.482,1.98e-05,-6.621,0.0251,67.479,0.342
I'll Never Love Again - Film Version - Radio Edit,0.785,0.45,281235,0.335,1.25e-06,-7.464,0.0298,109.908,0.25
I'll Never Love - Extended Version - Radio Edit,0.712,0.403,328016,0.356,2.04e-06,-6.173,0.0287,108.989,0.194
Intro,0.908,0.232,20413,0.925,0.576,-19.327,0.329,101.225,0.0426
Black Eyes,0.000811,0.373,183773,0.937,6.37e-05,-2.133,0.0834,150.242,0.46
Somewhere Over The Rainbow - Dialogue,0.953,0.283,42040,0.22,2.35e-06,-22.951,0.443,150.884,0.334
Fabulous French - Dialogue,0.807,0.514,19493,0.7,0,-11.251,0.724,101.59,0.863
La Vie En Rose,0.758,0.276,179760,0.405,0,-7.296,0.0329,76.18,0.335
I'll Wait For You - Dialogue,0.858,0.718,19133,0.128,0,-21.699,0.877,116.575,0.648
Maybe It's Time,0.798,0.699,159293,0.282,1.23e-06,-7.65,0.0374,79.776,0.359
Parking Lot - Dialogue,0.766,0.535,31427,0.384,0,-21.937,0.814,133.153,0.386
Out Of Time,0.173,0.584,172320,0.915,0.822,-7.339,0.0579,99.983,0.359
Alibi,0.0145,0.285,183227,0.787,0.00043,-3.641,0.036,175.693,0.636
Trust Me - Dialogue,0.895,0.423,32333,0.545,6.25e-05,-14.211,0.508,90.836,0.832
Shallow,0.371,0.572,215733,0.385,0,-6.362,0.0308,95.799,0.323
"First Stop, Arizona - Dialogue",0.878,0,10760,0.23,0,-23.413,0,0,0
Music To My Eyes,0.392,0.625,199200,0.356,0.00129,-9.044,0.0319,114.805,0.325
Diggin' My Grave,0.171,0.684,237307,0.612,1.53e-05,-4.653,0.0287,93.964,0.561
I Love You - Dialogue,0.695,0.267,19453,0.979,1.52e-05,-13.05,0.525,119.841,0.185
Always Remember Us This Way,0.299,0.553,210200,0.502,0,-5.972,0.0409,129.976,0.296
Unbelievable - Dialogue,0.727,0.524,28813,0.517,0,-12.84,0.558,56.94,0.715
How Do You Hear It? - Dialogue,0.606,0,14507,0.13,0,-21.347,0,0,0
Look What I Found,0.456,0.849,175240,0.493,0.000463,-4.1,0.0417,97.012,0.447
Memphis - Dialogue,0.4,0.83,24480,0.159,0,-21.566,0.928,126.483,0.893
Heal Me,0.0481,0.606,196800,0.544,0,-8.36,0.0593,86.013,0.456
I Don't Know What Love Is,0.348,0.421,177293,0.535,0.000194,-6.556,0.0288,62.671,0.221
Vows - Dialogue,0.711,0.789,17933,0.264,0,-23.195,0.952,92.748,0.169
Is That Alright?,0.868,0.557,191280,0.279,1.25e-05,-7.757,0.0372,102.727,0.263
SNL - Dialogue,0.408,0,13147,0.0604,0,-20.782,0,0,0
Why Did You Do That?,0.0304,0.792,184960,0.548,9.94e-06,-5.484,0.0582,116.008,0.445
Hair Body Face,0.0103,0.863,202640,0.457,5.32e-05,-6.422,0.0526,115.009,0.401
Scene 98 - Dialogue,0.546,0.728,35227,0.139,0,-20.819,0.933,65.859,0.562
Before I Cry,0.157,0.48,258547,0.56,0,-5.196,0.0373,146.41,0.167
Too Far Gone,0.0385,0.565,86160,0.482,1.98e-05,-6.621,0.0251,67.479,0.342
Twelve Notes - Dialogue,0.101,0.505,63707,0.26,0.000224,-25.521,0.721,81.57,0.615
I'll Never Love Again - Film Version,0.763,0.451,281067,0.34,2.49e-06,-7.466,0.031,110.502,0.221
I'll Never Love Again - Extended Version,0.685,0.406,328893,0.359,3.67e-06,-6.145,0.0293,109.246,0.202
Diamond Heart,0.0585,0.662,210427,0.632,2.73e-06,-5.427,0.0632,127.754,0.402
A-YO,0.0987,0.666,207720,0.889,0,-5.699,0.144,149.959,0.916
Joanne,0.146,0.549,196907,0.414,0,-8.453,0.0273,149.746,0.404
John Wayne,0.00131,0.61,174307,0.667,0.00018,-5.825,0.0314,96.954,0.51
Dancin' In Circles,0.0304,0.635,207173,0.718,0.000383,-7.775,0.119,171.915,0.787
Perfect Illusion,0.0012,0.613,182000,0.857,0,-5.492,0.0366,124.987,0.664
Million Reasons,0.494,0.666,205280,0.423,0,-8.012,0.043,129.89,0.154
Sinner's Prayer,0.239,0.599,223387,0.712,0.000302,-7.316,0.0458,92.186,0.721
Come To Mama,0.0161,0.395,254773,0.867,0,-5.805,0.105,179.911,0.557
Hey Girl,0.0562,0.754,255413,0.451,6.5e-06,-7.882,0.038,138.024,0.622
Angel Down,0.8,0.294,229147,0.321,0,-11.251,0.0317,107.472,0.0669
Grigio Girls,0.355,0.738,180467,0.506,0,-9.311,0.0588,127.849,0.54
Just Another Day,0.125,0.624,178000,0.437,0,-8.91,0.0319,166.882,0.693
Angel Down - Work Tape,0.569,0.636,139827,0.237,0,-8.233,0.0322,111.817,0.213
